filename,shape,length,color,finish,style,set_style,art,jewels,theme
0a295c867104a46d56ff9d51df2ef94e_jpg.rf.5d33b3c761b7516228e07bbbd11bea15.jpg,Coffin,Long,Pink,Glossy,Glamorous,Uniform,None,None,Date Night
0a3d60d4b1ceaa60923fc74afcbb3ef6_jpg.rf.4707f8783107ade918578d52d57ff857.jpg,Almond,Medium,Beige,Matte,Natural,Uniform,None,None,Everyday
0a56b9c7bb0206d778187cbca6159594_jpg.rf.7b8fba35d8961fad09b63ada2e37127b.jpg,Round,Short,White,Glossy,French,Uniform,None,None,Wedding
0a5ef9abc771b65312b9f0c5f137d129_jpg.rf.7f23fe68c990288916c3d5a5de6537d7.jpg,Square,Medium,Red,Glossy,Artistic,Accent Nail,Floral,None,Vacation
0a961ae166f89af0904bf3a027e594ad_jpg.rf.1f3778de619678da043c6e8d1c36a2d3.jpg,Stiletto,Long,Purple,Shimmer,Glamorous,Uniform,None,Crystals,Party
0adb60adca442b97e8de947d274cca33_jpg.rf.fe1ce4758e83eb7e1abd98c5c0192df0.jpg,Oval,Medium,Pink,Holographic,Ombre,Uniform,None,None,Date Night
0ae671c168c69c024ad801c0ac996baa_jpg.rf.99fe29171120f13b870eead63a97c1e8.jpg,Round,Short,Clear,Glossy,French,Uniform,Line Art,None,Everyday
0b381b6c59f3ccd2d8f8f3f4319c38a1_jpg.rf.a232e52459a74d815d4929756a831c1c.jpg,Coffin,Long,Gold,Chrome,Glamorous,Uniform,None,Foil,Date Night
0b51a05df85b85caefa4565b78481a36_jpg.rf.c48396a499959c2fdd3f228a94ff3460.jpg,Almond,Medium,Pink,Matte,Natural,Uniform,Floral,None,Seasonal
0b59d6790a767d04c1d16edc9ef4377d_jpg.rf.bad07e6e2deb1e3ae286a71b9510c8dd.jpg,Square,Short,Black,Glossy,Minimalist,Uniform,None,None,Everyday
0b6a68101dce9369d5e4a467078a1f18_jpg.rf.ee2a21236c6e5ed171b4e95b21aca249.jpg,Oval,Long,Blue,Shimmer,Artistic,Uniform,Abstract,Crystals,Party
0b74cc78bbb56e36583822a2c2387259_jpg.rf.c1e20de94161d5d32f6c1487bac374e7.jpg,Stiletto,Medium,Red,Glossy,Edgy,Uniform,Geometric,None,Party
0b96df2b1820b6b20ff9d6bfc693f3f8_jpg.rf.1e3dc9beee81ac5b94f6c3076400bf8f.jpg,Coffin,Long,Pink,Glitter,Glamorous,Accent Nail,None,Crystals,Date Night
0bd6cfa7aa8ced74ea964e33edf25696_jpg.rf.c7cc98c33bdf41d05bc944612047d426.jpg,Round,Medium,Nude,Matte,Natural,Uniform,Dots,None,Everyday
0bdbd610a698323c6c3bb4fa780e6ff6_jpg.rf.35f8c5ae758afec91a9cbe7773482599.jpg,Squoval,Medium,Pink,Glossy,Ombre,Uniform,Floral,None,Seasonal
0bf2394cb03b7fc7c56d04e79c417f54_jpg.rf.9582a78f0a04935608aa354c6cf7bdd7.jpg,Almond,Long,Silver,Chrome,Glamorous,Uniform,None,Foil,Date Night
0bfafba6a08eda9b4deab00615281cfc_jpg.rf.36ae40d249a64b61c9ccf54510923876.jpg,Oval,Short,White,Glossy,French,Uniform,None,None,Wedding
0c002b954bd1aab79aa310078bc16658_jpg.rf.f4a3acd127ceaf453d6da5edee06bedb.jpg,Square,Medium,Pink,Matte,Marble,Uniform,Geometric,None,Vacation
0c1f8dfdce0cf5c52471ddaf70293c4a_jpg.rf.191199d75e3f534e648e96f2e6519509.jpg,Coffin,Long,Brown,Glossy,Natural,Uniform,None,None,Everyday
0c269d0dfbd982064c491f6dfdd8c1aa_jpg.rf.d80a723f868f34c844357f693ce35b14.jpg,Stiletto,Medium,Purple,Shimmer,Artistic,Uniform,Floral,Crystals,Party
0c28752d5d0af6e1fe5df2b6144cd476_jpg.rf.5a74e98c64606282cf2f89765c5f226b.jpg,Round,Short,Pink,Glossy,Minimalist,Uniform,None,None,Everyday
0c3a4de4754c9b1a2bde54fc6c4027c2_jpg.rf.af47264cae5800813684ae40c14b1ec1.jpg,Almond,Long,Gold,Holographic,Glamorous,Uniform,None,Foil,Date Night
0c474b9b069f0aea0557520fb3010917_jpg.rf.92a5d20a9cdbd07594c1f5048d7a6858.jpg,Oval,Medium,Red,Glossy,Edgy,Alternating,Geometric,None,Party
0c525cd96bfaaf94b73c652c9766a466_jpg.rf.68c97c0198da21dd81586d11cd4e47d8.jpg,Squoval,Short,Pink,Matte,Natural,Uniform,Dots,None,Everyday
0c83a2efcf80495c1b77f9e4eeaadd39_jpg.rf.0ea62259a2881d08bff7c77765f73c09.jpg,Coffin,Long,Black,Matte,Edgy,Uniform,Swirls,None,Party
0c950a80aa96e29d4ccdc3a9b7ecf42e_jpg.rf.84def6f0c4ef89dc43d5bdb87a20cbcc.jpg,Almond,Medium,Pink,Glossy,Ombre,Uniform,Floral,None,Seasonal
0cc4dd9fad804dfa5cc6649919039023_jpg.rf.6dd6733e9637a3e46bf4be94338f9af0.jpg,Round,Long,White,Pearl,French,Uniform,None,None,Wedding
0cc6b44674c7ff171ece409aa316b092_jpg.rf.4241d94e191258182f8057448200307c.jpg,Stiletto,Extra Long,Gold,Chrome,Glamorous,Uniform,None,Crystals,Date Night,
